Text,clean_text,sentiment
 Enjoying a beautiful day at the park!              , enjoying a beautiful day at the park              ,positive
 Traffic was terrible this morning.                 , traffic was terrible this morning                 ,negative
 Just finished an amazing workout! 💪               , just finished an amazing workout                ,positive
 Excited about the upcoming weekend getaway!        , excited about the upcoming weekend getaway        ,positive
 Trying out a new recipe for dinner tonight.        , trying out a new recipe for dinner tonight        ,neutral
 Feeling grateful for the little things in life.    , feeling grateful for the little things in life    ,positive
 Rainy days call for cozy blankets and hot cocoa.   , rainy days call for cozy blankets and hot cocoa   ,negative
 The new movie release is a must-watch!             , the new movie release is a mustwatch             ,neutral
 Political discussions heating up on the timeline.  , political discussions heating up on the timeline  ,neutral
 Missing summer vibes and beach days.               , missing summer vibes and beach days               ,negative
 Just published a new blog post. Check it out!      , just published a new blog post check it out      ,neutral
 Feeling a bit under the weather today.             , feeling a bit under the weather today             ,positive
 Exploring the city's hidden gems.                  , exploring the citys hidden gems                  ,neutral
" New year, new fitness goals! 💪                    ", new year new fitness goals                     ,positive
 Technology is changing the way we live.            , technology is changing the way we live            ,neutral
 Reflecting on the past and looking ahead.          , reflecting on the past and looking ahead          ,neutral
 Just adopted a cute furry friend! 🐾              , just adopted a cute furry friend               ,positive
 Late-night gaming session with friends.            , latenight gaming session with friends            ,positive
 Attending a virtual conference on AI.              , attending a virtual conference on ai              ,neutral
 Winter blues got me feeling low.                   , winter blues got me feeling low                   ,negative
 Sipping coffee and enjoying a good book.           , sipping coffee and enjoying a good book           ,positive
 Exploring the world of virtual reality.            , exploring the world of virtual reality            ,neutral
 Productive day ticking off my to-do list.          , productive day ticking off my todo list          ,neutral
 Just finished a challenging workout routine.       , just finished a challenging workout routine       ,positive
 Celebrating a milestone at work! 🎉               , celebrating a milestone at work                ,positive
 Sunday brunch with friends.                        , sunday brunch with friends                        ,positive
 Learning a new language for personal growth.       , learning a new language for personal growth       ,positive
 Quiet evening with a good book.                    , quiet evening with a good book                    ,positive
 Reflecting on the importance of mental health.     , reflecting on the importance of mental health     ,positive
 New painting in progress! 🎨                       , new painting in progress                        ,positive
 Weekend road trip to explore scenic views.         , weekend road trip to explore scenic views         ,neutral
 Enjoying a cup of tea and watching the sunset.     , enjoying a cup of tea and watching the sunset     ,positive
 Coding a new project with enthusiasm.              , coding a new project with enthusiasm              ,positive
 Feeling inspired after attending a workshop.       , feeling inspired after attending a workshop       ,positive
 Winter sports day at the local park.               , winter sports day at the local park               ,neutral
 Quality time with family this weekend.             , quality time with family this weekend             ,neutral
 Attending a live music concert tonight.            , attending a live music concert tonight            ,neutral
 Practicing mindfulness with meditation.            , practicing mindfulness with meditation            ,neutral
 Trying out a new dessert recipe.                   , trying out a new dessert recipe                   ,neutral
 Excited about the upcoming gaming tournament.      , excited about the upcoming gaming tournament      ,positive
 Planning a garden makeover for spring.             , planning a garden makeover for spring             ,neutral
 Celebrating a friend's birthday tonight! 🎂       , celebrating a friends birthday tonight        ,positive
 Feeling accomplished after a productive day.       , feeling accomplished after a productive day       ,positive
 A cozy evening with a good movie.                 , a cozy evening with a good movie                 ,positive
 Exploring local art galleries this weekend.        , exploring local art galleries this weekend        ,neutral
 New book release from my favorite author!          , new book release from my favorite author          ,positive
 Attending a virtual reality meetup.                , attending a virtual reality meetup                ,neutral
 Reflecting on the beauty of nature.                , reflecting on the beauty of nature                ,positive
 Cooking a special dinner for loved ones.           , cooking a special dinner for loved ones           ,positive
 Feeling optimistic about the week ahead.           , feeling optimistic about the week ahead           ,positive
 Starting a new fitness challenge tomorrow! 💪     , starting a new fitness challenge tomorrow      ,positive
 Sunday bike ride through scenic trails.           , sunday bike ride through scenic trails           ,neutral
 Can't believe the injustice happening in our society., cant believe the injustice happening in our society,positive
 Feeling a sense of fear after watching a thriller movie. , feeling a sense of fear after watching a thriller movie ,negative
 Heartbroken after hearing the news about a natural disaster. , heartbroken after hearing the news about a natural disaster ,negative
 The state of the world's environment is just disgusting. , the state of the worlds environment is just disgusting ,negative
 Pure happiness: celebrating a loved one's achievement! , pure happiness celebrating a loved ones achievement ,positive
 Laughter is the best medicine—enjoying a comedy show. , laughter is the best medicineenjoying a comedy show ,positive
 Sharing love and positive vibes with everyone! ❤️      , sharing love and positive vibes with everyone       ,positive
 An amusing incident brightened up my day!               , an amusing incident brightened up my day               ,positive
 Enjoying a quiet evening with a book and some tea.      , enjoying a quiet evening with a book and some tea      ,positive
 Admiring the beauty of nature during a peaceful hike.   , admiring the beauty of nature during a peaceful hike   ,positive
 Sending affectionate vibes to all my followers!          , sending affectionate vibes to all my followers          ,positive
 Experiencing awe at the breathtaking sunset.            , experiencing awe at the breathtaking sunset            ,positive
 Disappointed with the service at a local restaurant.    , disappointed with the service at a local restaurant    ,negative
 A surprise gift from a friend made my day!              , a surprise gift from a friend made my day              ,positive
 Finding acceptance in the midst of life's challenges.   , finding acceptance in the midst of lifes challenges   ,positive
 Overflowing with adoration for my adorable pet! 🐾      , overflowing with adoration for my adorable pet       ,positive
 Anticipating a thrilling adventure in the coming weeks. , anticipating a thrilling adventure in the coming weeks ,positive
